Name,Mobile Number,Review Count,Rating,Catagory,Address,Website,Email Id,PlusCode,Closing Hours,latitude,latitude,Instagram Profile,Facebook Profile,Linkedin Profile,Twitter Profile,Image Name,Images Folder
باجيرو,,1 review,4.0,Parking lot in Dubai,"Dubai Production City, The Crescent, Tower 1 - Dubai Production City - Dubai",,,,,25.0801527,55.1364655,,,,,باجيرو.png,C:\ProgramData\GMAPExtractor\temp\69088f06-1798-4919-b3e2-0b49827ebe23
HPE Parking,,1 review,5.0,Parking lot in Dubai,35X7+PP3 - Unnamed Road - Dubai,,,,,25.2489976,55.297142199999996,,,,,HPE_Parking.png,C:\ProgramData\GMAPExtractor\temp\a2b4600c-d2c7-443a-9e8a-cf0395edcc03
"TSC Parking 4A (cluster 4, villas 1-45)",,10 reviews,4.8,Parking lot in Dubai,27JM+G4C - Al Waha - Dubai,,,,,25.033493699999998,55.202461199999995,,,,,TSC_Parking_4A_Cluster4_Villas1-45.png,C:\ProgramData\GMAPExtractor\temp\d3c5287e-1132-4475-b056-48efd049cace
Bluewaters Parking,,21 reviews,3.5,Parking lot in Dubai,34HC+JF5 - Unnamed Road - Bluewaters Island - Dubai,,,,,25.099271899999998,55.1642918,,,,,Bluewaters_Parking.png,C:\ProgramData\GMAPExtractor\temp\3d57f225-92ee-4d4d-b78b-f176bd628e99
Parking car Souk Madinat Jumeirah,,22 reviews,3.2,Parking lot in Dubai,45MP+FM6 - Al Sufouh 1 - Dubai,,,,,25.031305,55.2827755,,,,,parking_car_souk_madinat_jumeirah.png,C:\ProgramData\GMAPExtractor\temp\0dc30093-417d-4077-b83a-32101b9a6b09
RTA Parking,,3 reviews,5.0,Parking lot in Dubai,7855+P2W - Al Hamriya - Dubai,,,,,25.259355,55.3075723,,,,,RTA_Parking.png,C:\ProgramData\GMAPExtractor\temp\64778ce4-6a23-4b1e-ae50-bc8d2b8e2f66
SPINNEYS PARKING,,2 reviews,4.5,Parking garage in Dubai,27JM+R8F - Al Waha - Dubai,,,,,25.032321399999997,55.2830388,,,,,SPINNEYS_PARKING.png,
Al Sarayat St Parking,,,,,35H3+5MX - Al Sarayat St - Jumeirah Lake Towers - Dubai,,,,,25.258847799999998,55.292201299999995,,,,,Al_Sarayat_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\5c5cdd19-8aa7-432f-a6cf-bda2008df391
3 Sheikh Zayed Rd Parking,,3 reviews,4.7,Parking lot in Dubai,3 Sheikh Zayed Rd - Dubai,,,,,25.077978899999998,55.1542296,,,,,3_Sheikh_Zayed_Rd_Parking.png,C:\ProgramData\GMAPExtractor\temp\337300cc-e42e-449e-8c8e-defe5fc6ea06
Greens Souk Parking,,2 reviews,3.0,Parking lot in Dubai,Street 7 - Dubai,,,,,25.229395399999998,55.28691980000001,,,,,greens_souk_parking.png,C:\ProgramData\GMAPExtractor\temp\27965731-2fde-4cfc-b7e1-63fb2b1ef28b
In5 Parking,45217448,3 reviews,2.3,Parking garage in Dubai,In5 Tech - Dubai,https://www.rta.ae/,,,,25.129237999999997,55.2094598,,,,,In5_Parking.png,C:\ProgramData\GMAPExtractor\temp\c443d503-81bb-457f-a3b0-829eef62c1b0
Media City Parking,,3 reviews,4.7,Parking lot in Dubai,35W3+PRM - Al Sufouh - Al Sufouh 2 - Dubai,,,,,25.093997899999998,55.168469699999996,,,,,media_city_parking.png,C:\ProgramData\GMAPExtractor\temp\09758d36-ab20-4f40-8397-2cf0532bb16f
